FADOB PHARMACY & STORES
List of Items
Name,Alias,Group Name,Op. Amount,Op. Stock(Main),Sale Price,Purc. Price
10% SALICYLIC ACID & SULPHUR OINTMENT,,PHARMACY,0.00,0,"3,000.00","1,500.00"
10% UREA CREAM JAR,,PHARMACY,"1,750.00",1,"2,500.00","1,750.00"
2% SALICYLIC ACID & SULPHUR OINTMENT,,PHARMACY,"8,868.00",4,"3,500.00","2,556.00"
20% SALICYLIC ACID & SULPHUR OINTMENT,,PHARMACY,"5,200.00",2,"3,600.00","2,600.00"
3% SALICYCLIC ACID & SULPHUR OINTMENT,,PHARMACY,0.00,0,"2,000.00","1,200.00"
30 DAYS BEAUTY SECRET X30 TAB JAR,,PHARMACY,0.00,0,"46,200.00","33,000.00"
4 QUIN (MOXIFLOXACIN) BOTTLE,,PHARMACY,0.00,-1,"1,500.00",0.00
5% SALICYCLIC ACID & SULPHUR OINTMENT,,PHARMACY,0.00,0,"1,800.00","1,280.00"
7 KEYS MIXTURE X 24 SYR 200ML BOTTLE,,PHARMACY,"54,319.53",51,"1,600.00","1,140.00"
7 SEAS EXTRA HIGH X60,,PHARMACY,"6,850.00",1,"9,200.00","6,850.00"
77 WAFERS,,CHOCOLATES,"6,250.00",18,500.00,347.22
7UP DRINK  60CL BOTTLE,,DRINKS AND BEVERAGES,"-6,833.33",-15,500.00,358.33
ABDOE BISMUTH SUSP BOTTLE,,PHARMACY,"3,300.00",2,"2,500.00","1,650.00"
ABF-3 CREAM 20G TUBE,,PHARMACY,"14,478.75",27,800.00,540.00
ABIDEC DROPS 25ML BOTTLE,,PHARMACY,0.00,0,"3,500.00","2,350.00"
ABIDEC SYR 150ML [UK] BOTTLE,,PHARMACY,0.00,0,0.00,"4,950.00"
ABLEPT 300MG BLISTER GABAPENTIN,,PHARMACY,"14,540.00",6,"3,300.00","2,423.33"
ABONIKI BALM  100MG BOTTLE,,PHARMACY,"17,565.16",29,950.00,708.33
ABONIKI INHALER PCS,,PHARMACY,"16,778.62",25,"1,000.00",666.67
ABTHER 150MG INJ AREETHER,,PHARMACY,"13,000.00",5,"3,500.00","2,600.00"
ACCU-CHECK LANCET X200 PACK,,PHARMACY,"15,559.00",3,"16,700.00","12,359.00"
ACCU-CHEK MACHINE (NO STRIP) PACK,,PHARMACY,0.00,0,"26,500.00","19,500.00"
ACCU-CHEK STRIP PACK,,PHARMACY,"451,420.34",34,"18,000.00","13,000.00"
ACEL PLUS TAB PACK,,PHARMACY,"3,194.56",7,"1,000.00",450.00
ACEPOL SUSP 100ML X 1 BOTTLE,,PHARMACY,"-10,910.00",-16,800.00,530.00
ACER TABLET (LEVOFLOXACIN 500MG) X10,,PHARMACY,"11,950.00",10,"1,700.00","1,200.00"
ACETAZOLAMIDE 250MG  BLISTER (MANFES),,PHARMACY,"7,666.67",10,"1,000.00",766.67
ACETAZOLAMIDE(MULTICOY) TABS 25 BLISTER,,PHARMACY,"-2,233.33",-4,600.00,433.33
ACHOL CARE PACK,,PHARMACY,"10,500.00",1,"14,200.00","10,500.00"
ACHOL SAFE PACK,,PHARMACY,0.00,0,"14,200.00",0.00
ACICLOVIR 400MG TAB BLISTER,,PHARMACY,"3,750.00",2,"2,800.00","1,950.00"
