FADOB PHARMACY & STORES
Stock Status
From 1-1-2026 to 23-2-2026
All Items,All MC
Item Details,Parent Group,Unit,Op.Qty,Op.Amt.,Purc.,Amt.In,Qty In(Others),Amt.In(Others),Sale,Amt.Out,Qty.Out (Others),Amt.Out(Others),Cl. Qty,Cl. Amt.
"10% UREA CREAM JAR",PHARMACY,Pcs.,1,"1,750.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"1,750.00"
"2% SALICYLIC ACID & SULPHUR OINTMENT",PHARMACY,Pcs.,4,"8,868.00",0,0.00,0,0.00,0,0.00,0,0.00,4,"8,868.00"
"20% SALICYLIC ACID & SULPHUR OINTMENT",PHARMACY,Pcs.,2,"5,200.00",0,0.00,0,0.00,0,0.00,0,0.00,2,"5,200.00"
"4 QUIN (MOXIFLOXACIN) BOTTLE",PHARMACY,Pcs.,-1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-1,0.00
"7 KEYS MIXTURE X 24 SYR 200ML BOTTLE",PHARMACY,Pcs.,51,"54,319.53",22,"24,880.00",0,0.00,24,"38,400.00",0,0.00,49,"53,445.22"
"7 SEAS EXTRA HIGH X60",PHARMACY,Pcs.,1,"6,850.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"6,850.00"
"77 WAFERS",CHOCOLATES,Pcs.,18,"6,250.00",0,0.00,0,0.00,0,0.00,0,0.00,18,"6,250.00"
"7UP DRINK  60CL BOTTLE",DRINKS AND BEVERAGES,Pcs.,-15,"-6,833.33",24,"8,600.00",0,0.00,11,"5,500.00",0,0.00,-2,-858.33
"ABDOE BISMUTH SUSP BOTTLE",PHARMACY,Pcs.,2,"3,300.00",0,0.00,0,0.00,0,0.00,0,0.00,2,"3,300.00"
"ABF-3 CREAM 20G TUBE",PHARMACY,Pcs.,27,"14,478.75",0,0.00,0,0.00,16,"12,800.00",0,0.00,11,"5,898.75"
"ABIDEC DROPS 25ML BOTTLE",PHARMACY,Pcs.,0,0.00,26,"63,976.00",0,0.00,18,"63,200.00",0,0.00,8,"19,296.00"
"ABLEPT 300MG BLISTER GABAPENTIN",PHARMACY,Pcs.,6,"14,540.00",0,0.00,0,0.00,3,"9,900.00",0,0.00,3,"7,270.00"
"ABONIKI BALM  100MG BOTTLE",PHARMACY,Pcs.,29,"17,565.16",24,"17,000.00",0,0.00,22,"20,600.00",0,0.00,31,"20,273.84"
"ABONIKI INHALER PCS",PHARMACY,Pcs.,25,"16,778.62",0,0.00,0,0.00,0,0.00,0,0.00,25,"16,778.62"
"ABTHER 150MG INJ AREETHER",PHARMACY,Pcs.,5,"13,000.00",0,0.00,0,0.00,0,0.00,0,0.00,5,"13,000.00"
"ACCU-CHECK LANCET X200 PACK",PHARMACY,Pcs.,3,"15,559.00",0,0.00,0,0.00,0,0.00,0,0.00,3,"15,559.00"
