Product Name,SKU,Barcode,Description,Category,Cost Price (₦),Selling Price (₦),Stock Qty,Reorder Level,Reorder Qty,Tax Rate (%),Active
10% SALICYLIC ACID & SULPHUR OINTMENT,10SALICYLICA-0001,,,PHARMACY,1500.00,3000.00,0,5,0,7.5,TRUE
10% UREA CREAM JAR,10UREACREAMJ-0002,,,PHARMACY,1750.00,2500.00,1,5,0,7.5,TRUE
2% SALICYLIC ACID & SULPHUR OINTMENT,2SALICYLICAC-0003,,,PHARMACY,2556.00,3500.00,4,5,0,7.5,TRUE
20% SALICYLIC ACID & SULPHUR OINTMENT,20SALICYLICA-0004,,,PHARMACY,2600.00,3600.00,2,5,0,7.5,TRUE
3% SALICYCLIC ACID & SULPHUR OINTMENT,3SALICYCLICA-0005,,,PHARMACY,1200.00,2000.00,0,5,0,7.5,TRUE
30 DAYS BEAUTY SECRET X30 TAB JAR,30DAYSBEAUTY-0006,,,PHARMACY,33000.00,46200.00,0,5,0,7.5,TRUE
4 QUIN (MOXIFLOXACIN) BOTTLE,4QUINMOXIFLO-0007,,,PHARMACY,0.00,1500.00,0,5,0,7.5,TRUE
5% SALICYCLIC ACID & SULPHUR OINTMENT,5SALICYCLICA-0008,,,PHARMACY,1280.00,1800.00,0,5,0,7.5,TRUE
7 KEYS MIXTURE X 24 SYR 200ML BOTTLE,7KEYSMIXTURE-0009,,,PHARMACY,1140.00,1600.00,51,5,0,7.5,TRUE
7 SEAS EXTRA HIGH X60,7SEASEXTRAHI-0010,,,PHARMACY,6850.00,9200.00,1,5,0,7.5,TRUE
77 WAFERS,77WAFERS-0011,,,CHOCOLATES,347.22,500.00,18,5,0,7.5,TRUE
7UP DRINK  60CL BOTTLE,7UPDRINK60CL-0012,,,DRINKS AND BEVERAGES,358.33,500.00,0,5,0,7.5,TRUE
ABDOE BISMUTH SUSP BOTTLE,ABDOEBISMUTH-0013,,,PHARMACY,1650.00,2500.00,2,5,0,7.5,TRUE
ABF-3 CREAM 20G TUBE,ABF3CREAM20G-0014,,,PHARMACY,540.00,800.00,27,5,0,7.5,TRUE
ABIDEC DROPS 25ML BOTTLE,ABIDECDROPS2-0015,,,PHARMACY,2350.00,3500.00,0,5,0,7.5,TRUE
ABIDEC SYR 150ML [UK] BOTTLE,ABIDECSYR150-0016,,,PHARMACY,4950.00,0.00,0,5,0,7.5,TRUE
ABLEPT 300MG BLISTER GABAPENTIN,ABLEPT300MGB-0017,,,PHARMACY,2423.33,3300.00,6,5,0,7.5,TRUE
ABONIKI BALM  100MG BOTTLE,ABONIKIBALM1-0018,,,PHARMACY,708.33,950.00,29,5,0,7.5,TRUE
ABONIKI INHALER PCS,ABONIKIINHAL-0019,,,PHARMACY,666.67,1000.00,25,5,0,7.5,TRUE
ABTHER 150MG INJ AREETHER,ABTHER150MGI-0020,,,PHARMACY,2600.00,3500.00,5,5,0,7.5,TRUE
ACCU-CHECK LANCET X200 PACK,ACCUCHECKLAN-0021,,,PHARMACY,12359.00,16700.00,3,5,0,7.5,TRUE
